"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Story Name: To Check Login With Correct Credentials","0","1","4","2","0"
"","","Story Name: To Check Amount Of Products","0","0","2","2","0"
"","","Story Name: To Check Registration New User","0","0","2","2","0"
"","","","0","9","0","0","0"
"","","Story Name: To Check Register Page Title","0","0","2","2","0"
"","","Story Name: To Check Click On Cart Button","0","1","1","2","0"
"","","Story Name: To Check Login Form","0","0","2","2","0"
"","","Story Name: To Check Login With Incorrect Credentials","0","0","2","2","0"
"","","Story Name: To Check Proceed To Check Out","0","2","2","4","0"
"","","Story Name: To Check Product Page Title","0","0","2","2","0"
"","","Story Name: To Check Do Add To Cart Product","0","1","2","2","0"
"","","Story Name: To Check Log Out","0","0","2","2","0"
"","","Story Name: To Check Do Search Product","0","0","3","1","0"
"","","Story Name: To Check Amount Of Social Media Links","0","0","2","2","0"
"","","Story Name: To Check Shetty Academy Email","0","0","2","2","0"
