"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Aug 23 19:50:26 PDT 2022","Tue Aug 23 19:50:26 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","doLoginTestCorrectCredentials","doLoginTestCorrectCredentials","Test Case Description: Verify Login With Correct Credentials"
"passed","Wed Aug 24 01:26:06 PDT 2022","Wed Aug 24 01:26:06 PDT 2022","346","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","AmountOfProductTest","AmountOfProductTest","Test Case Description: Verify Amount Of Products"
"skipped","Tue Aug 23 19:50:26 PDT 2022","Tue Aug 23 19:50:26 PDT 2022","0","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","doRegistration","doRegistration","Test Case Description: Verify Registration New User"
"broken","Tue Aug 23 20:05:56 PDT 2022","Tue Aug 23 20:05:56 PDT 2022","5","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.PaymentShettyAcademyPageTest","com.mystore.qa.testcases.PaymentShettyAcademyPageTest","startUp","startUp",""
"skipped","Tue Aug 23 19:50:26 PDT 2022","Tue Aug 23 19:50:26 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","validateRegisterPageTitle","validateRegisterPageTitle","Test Case Description: Verify Register Page Title"
"broken","Tue Aug 23 19:55:14 PDT 2022","Tue Aug 23 19:55:14 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Firefox Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","startUp","startUp",""
"skipped","Tue Aug 23 19:58:42 PDT 2022","Tue Aug 23 19:58:42 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","doClickOnCartBtnTest","doClickOnCartBtnTest","Test Case Description: Verify Click On Cart Button"
"skipped","Tue Aug 23 19:58:28 PDT 2022","Tue Aug 23 19:58:28 PDT 2022","0","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","validateLogInFormTest","validateLogInFormTest","Test Case Description: Verify Login Form"
"passed","Wed Aug 24 01:16:22 PDT 2022","Wed Aug 24 01:16:23 PDT 2022","1039","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Chrome Test","com.mystore.qa.testcases.ProductShettyAcademyPageTest","com.mystore.qa.testcases.ProductShettyAcademyPageTest","AmountOfProductTest","AmountOfProductTest","Test Case Description: Verify Amount Of Products"
"skipped","Tue Aug 23 19:58:28 PDT 2022","Tue Aug 23 19:58:28 PDT 2022","1","Shetty Academy Smoke Suite","Smoke Suite Selenium-Grid Edge Test","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","com.mystore.qa.testcases.RegisterShettyAcademyPageTest","doLoginTestIncorrectCredentials","doLoginTestIncorrectCredentials","Test Case Description: Verify Login With Incorrect Credentials"
